"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-08-01 00:00","2019","08","01","00:00","19.1","","11.4","","60","","31","","13","","24.1","","101.29","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-08-01 01:00","2019","08","01","01:00","18.1","","11.4","","65","","32","","7","","24.1","","101.34","","","","","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-08-01 02:00","2019","08","01","02:00","17.0","","10.7","","66","","33","","7","","24.1","","101.39","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-08-01 03:00","2019","08","01","03:00","15.5","","10.6","","73","","32","","3","","24.1","","101.42","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-08-01 04:00","2019","08","01","04:00","16.8","","10.8","","67","","33","","6","","24.1","","101.46","","","","","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-08-01 05:00","2019","08","01","05:00","15.7","","10.7","","72","","3","","6","","24.1","","101.52","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-08-01 06:00","2019","08","01","06:00","17.3","","10.9","","66","","33","","10","","48.3","","101.55","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-08-01 07:00","2019","08","01","07:00","19.3","","10.9","","58","","36","","8","","48.3","","101.61","","","","","","Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-08-01 08:00","2019","08","01","08:00","21.6","","11.1","","51","","32","","3","","48.3","","101.63","","","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-08-01 09:00","2019","08","01","09:00","23.4","","10.8","","44","","33","","9","","48.3","","101.63","","25","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-08-01 10:00","2019","08","01","10:00","24.9","","9.5","","37","","30","","13","","48.3","","101.63","","26","","","","Mainly Clear"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-08-01 11:00","2019","08","01","11:00","25.2","","8.0","","33","","31","","16","","48.3","","101.60","","26","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-08-01 12:00","2019","08","01","12:00","26.3","","6.8","","28","","29","","16","","48.3","","101.60","","26","","","","NA"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-08-01 13:00","2019","08","01","13:00","26.6","","8.7","","32","","19","","16","","48.3","","101.58","","27","","","","Mostly Cloudy"
"-73.74","45.47","MONTREAL INTL A","7025251","2019-08-01 14:00","2019","08","01","14:00","27.2","","5.9","","25","","21","","22","","48.3","","101.55","","27","","","","NA"
